                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0659,                0.64364,                 1.2482,                0.91802,                0.83956,                0.90595,                0.66098,                 1.1207,                0.56459,                 1.2233,              0.0059163,              0.0059163,              0.0059163
                     35,                 1.0655,                0.64236,                 1.2467,                0.91939,                0.83923,                0.90622,                0.66056,                  1.123,                0.56482,                 1.2251,              0.0057925,              0.0057925,              0.0057925
                     36,                 1.0637,                0.64364,                 1.2486,                0.91901,                0.83846,                0.90608,                0.66112,                 1.1232,                 0.5657,                 1.2267,              0.0056688,              0.0056688,              0.0056688
                     37,                 1.0603,                0.63738,                 1.2391,                0.91768,                0.83987,                0.90588,                0.66117,                 1.1224,                0.56593,                 1.2265,               0.005545,               0.005545,               0.005545
                     38,                 1.0583,                 0.6347,                 1.2395,                0.91666,                0.84088,                0.90537,                0.66143,                 1.1214,                0.56562,                 1.2265,              0.0054212,              0.0054212,              0.0054212
                     39,                 1.0572,                0.63423,                 1.2391,                 0.9172,                0.84036,                0.90544,                0.66206,                  1.121,                0.56554,                 1.2266,              0.0052975,              0.0052975,              0.0052975
                     40,                 1.0496,                0.62981,                  1.235,                0.91687,                0.84037,                0.90588,                0.66251,                 1.1206,                0.56507,                 1.2259,              0.0051737,              0.0051737,              0.0051737
                     41,                  1.052,                 0.6285,                 1.2362,                 0.9184,                0.83942,                0.90612,                0.66266,                 1.1202,                0.56494,                 1.2255,                0.00505,                0.00505,                0.00505
                     42,                 1.0498,                0.62909,                 1.2349,                0.91787,                0.83866,                 0.9061,                0.66299,                 1.1206,                0.56549,                 1.2255,              0.0049263,              0.0049263,              0.0049263
                     43,                   1.05,                0.62577,                 1.2322,                0.91769,                0.83855,                0.90605,                0.66326,                 1.1209,                0.56556,                 1.2247,              0.0048025,              0.0048025,              0.0048025
                     44,                 1.0448,                0.62401,                 1.2311,                0.91699,                0.83904,                0.90597,                0.66327,                 1.1214,                0.56598,                 1.2247,              0.0046788,              0.0046788,              0.0046788
                     45,                 1.0448,                0.61982,                 1.2298,                0.91813,                0.83776,                 0.9062,                0.66375,                  1.122,                0.56607,                 1.2244,               0.004555,               0.004555,               0.004555
                     46,                 1.0445,                0.62064,                 1.2338,                0.91792,                  0.838,                  0.906,                0.66364,                 1.1223,                0.56639,                  1.225,              0.0044313,              0.0044313,              0.0044313
                     47,                 1.0409,                 0.6147,                 1.2301,                0.91811,                 0.8385,                0.90595,                0.66388,                 1.1225,                0.56644,                 1.2256,              0.0043075,              0.0043075,              0.0043075
                     48,                 1.0384,                0.61361,                 1.2268,                0.91841,                0.83896,                0.90598,                0.66405,                 1.1229,                0.56669,                 1.2262,              0.0041837,              0.0041837,              0.0041837
                     49,                 1.0363,                0.61291,                 1.2232,                0.91706,                0.84018,                0.90589,                0.66421,                 1.1231,                0.56699,                 1.2261,                0.00406,                0.00406,                0.00406
                     50,                 1.0284,                0.60392,                 1.2166,                0.91771,                0.83957,                0.90605,                0.66466,                 1.1231,                0.56669,                 1.2259,              0.0039362,              0.0039362,              0.0039362
                     51,                 1.0316,                0.60905,                 1.2223,                 0.9181,                0.83958,                0.90645,                0.66505,                 1.1233,                0.56642,                 1.2261,              0.0038125,              0.0038125,              0.0038125
                     52,                 1.0255,                0.60452,                 1.2177,                0.91855,                0.83899,                0.90643,                0.66523,                 1.1233,                0.56633,                  1.226,              0.0036888,              0.0036888,              0.0036888
                     53,                 1.0238,                0.59937,                  1.215,                0.91777,                   0.84,                 0.9069,                0.66559,                 1.1232,                0.56547,                 1.2255,               0.003565,               0.003565,               0.003565
                     54,                 1.0178,                0.59619,                 1.2138,                0.91775,                0.84019,                 0.9072,                0.66597,                 1.1229,                0.56492,                  1.225,              0.0034413,              0.0034413,              0.0034413
                     55,                 1.0161,                0.59606,                 1.2157,                0.91784,                0.84039,                0.90747,                0.66627,                 1.1228,                0.56466,                 1.2247,              0.0033175,              0.0033175,              0.0033175
                     56,                  1.017,                 0.5933,                 1.2147,                0.91756,                0.84082,                0.90769,                0.66664,                 1.1229,                0.56396,                 1.2248,              0.0031938,              0.0031938,              0.0031938
                     57,                 1.0113,                0.58873,                 1.2095,                0.91731,                0.84116,                  0.908,                0.66694,                 1.1229,                0.56386,                 1.2248,                0.00307,                0.00307,                0.00307
                     58,                 1.0071,                0.58631,                 1.2081,                0.91749,                0.84108,                0.90833,                0.66714,                 1.1229,                0.56317,                 1.2245,              0.0029462,              0.0029462,              0.0029462
                     59,                 1.0039,                0.58565,                 1.2098,                0.91756,                 0.8414,                0.90857,                0.66746,                  1.123,                 0.5631,                 1.2243,              0.0028225,              0.0028225,              0.0028225
                     60,                 1.0051,                0.58106,                 1.2037,                0.91827,                0.84133,                0.90887,                0.66771,                 1.1227,                0.56257,                 1.2238,              0.0026987,              0.0026987,              0.0026987
                     61,                0.99673,                0.57859,                 1.1976,                 0.9185,                0.84131,                0.90904,                0.66789,                 1.1228,                0.56254,                 1.2234,               0.002575,               0.002575,               0.002575
                     62,                0.99644,                0.57358,                 1.1973,                0.91871,                0.84144,                0.90925,                0.66818,                  1.123,                0.56209,                 1.2232,              0.0024513,              0.0024513,              0.0024513
                     63,                0.99372,                 0.5716,                 1.1916,                0.91919,                0.84147,                0.90939,                 0.6685,                 1.1231,                0.56161,                 1.2231,              0.0023275,              0.0023275,              0.0023275
                     64,                0.98751,                 0.5649,                 1.1893,                0.91898,                0.84171,                0.90938,                0.66859,                 1.1232,                0.56161,                 1.2228,              0.0022038,              0.0022038,              0.0022038
                     65,                0.98486,                 0.5614,                  1.187,                0.91905,                0.84214,                0.90961,                0.66913,                 1.1236,                0.56145,                 1.2228,                0.00208,                0.00208,                0.00208
                     66,                0.98404,                0.56246,                  1.189,                0.91916,                 0.8421,                0.90988,                0.66945,                 1.1238,                0.56115,                  1.223,              0.0019563,              0.0019563,              0.0019563
                     67,                0.97718,                  0.558,                  1.185,                0.91912,                0.84191,                0.91004,                0.66976,                 1.1239,                0.56108,                 1.2226,              0.0018325,              0.0018325,              0.0018325
